"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significance"
"ENSDARG00000111433",210.662382837242,-12.5397602846663,3.28299821982411,5.99791329653785e-17,1.16982378179783e-13,"Significant"
"ENSDARG00000115824",153.295075409202,-11.9376756206879,3.2997856915292,2.69317139884277e-13,2.23237137395101e-10,"Significant"
"ENSDARG00000115804",155.845048771132,-11.9442382535059,3.32020481741769,7.26008261978024e-13,5.11331652290356e-10,"Significant"
"zbed4l1",367.801028681976,-2.44210555797856,0.411691253664091,1.62372949787006e-10,5.37722150876399e-08,"Significant"
"si:ch211-181d7.2",557.8516162098,-3.78295662490369,0.647038014403907,2.12094224624583e-10,6.72206133169536e-08,"Significant"
"ENSDARG00000111289",92.5772134033332,-11.0162502155333,3.28183402221152,2.25777881948606e-10,7.06740518124309e-08,"Significant"
"dzip1l",2765.90083135027,-1.69112934548764,0.318492009706794,7.91187741490174e-09,1.67171376545695e-06,"Significant"
"poln",3362.76920549808,-1.75689498558283,0.337465591227395,1.41679093386761e-08,2.72141925213737e-06,"Significant"
"nek10",1221.38919179774,-1.86720370273493,0.360026415735898,1.44170593285087e-08,2.74845518251382e-06,"Significant"
"camkvb",1904.99775752495,-1.54465467275267,0.297035244098543,1.57657045273475e-08,2.96103287622887e-06,"Significant"
"thsd7ab",318.091972297381,-2.02991315458259,0.437007690566007,1.97128834369783e-07,2.52434424012416e-05,"Significant"
"rad54l",3505.54887156701,-1.21431022538195,0.257784595150351,2.73137876514661e-07,3.28218524124608e-05,"Significant"
"ENSDARG00000109666",41.6483621761566,-9.47981531429376,3.29253478172102,4.60296431201825e-07,5.05230130438193e-05,"Significant"
"ENSDARG00000110493",103.050179784478,-4.71196528372001,1.08119628003822,4.66279687145496e-07,5.07404354831504e-05,"Significant"
"psmb5",5531.93444981752,-1.04802445611935,0.230224519129226,6.89058274390797e-07,7.24940769592475e-05,"Significant"
"ENSDARG00000109617",1758.66244213517,-1.32167594621966,0.298236393774118,8.54235433028351e-07,8.73352395340074e-05,"Significant"
"zte38",6318.51016972999,-1.17179244577249,0.266726806126481,1.20401770243862e-06,0.000115635866838376,"Significant"
"zgc:194627",804.910787810936,-1.85120337832861,0.435222668289214,1.28304648794395e-06,0.000122760919629505,"Significant"
"daw1",15144.891695848,-1.16608946411473,0.267387858566939,1.36313210254481e-06,0.000128840724821071,"Significant"
"rnf212b",2007.70098589876,-1.48347245339557,0.345826666029055,1.39018585340133e-06,0.000130067019605132,"Significant"
"cdk2",9757.64461655189,-1.16491947382313,0.272310736631974,2.05713280295871e-06,0.000179857249031097,"Significant"
"morn2",2864.71582135542,-1.1297788591287,0.267742128678531,2.75656430709179e-06,0.000234539221497692,"Significant"
"cep44",1915.6641105271,-1.16406494070056,0.284809581034183,4.58868371645889e-06,0.000348341543804836,"Significant"
"slx4ip",1116.81477215219,-1.57592377824276,0.399177147670026,5.61564052560577e-06,0.000417550045532945,"Significant"
"ENSDARG00000114911",853.892987176847,-1.82354339561013,0.47160938481093,6.38404583664612e-06,0.000466476893914012,"Significant"
"wrap73",2685.00015782808,-1.01927263082614,0.253356827012394,7.53848439538084e-06,0.000532418584526132,"Significant"
"rbm46",4482.83757567205,-1.11174978226013,0.283379383179745,9.9182463432698e-06,0.000674201437087415,"Significant"
"tex11",5196.90872285326,-1.03930658493167,0.265225904896923,1.1034695887478e-05,0.000740171201658743,"Significant"
"si:dkey-112g5.3",398.836532094507,-1.89984689150931,0.510727952657611,1.11292611663619e-05,0.000744544635549092,"Significant"
"rad9b",3858.19201179372,-1.18104116452665,0.307426322368287,1.20992955924735e-05,0.000800986004561791,"Significant"
"si:ch211-76m11.11",530.218072147923,-2.50814618840928,0.693019426969785,1.24291922102361e-05,0.000816430488317454,"Significant"
"slc17a7b",94.1081316009993,-3.29823311948974,0.91728066557878,1.33497692991885e-05,0.000867906155335707,"Significant"
"ENSDARG00000112178",4604.78587531611,-1.15321640119465,0.303388780254016,1.51670693174493e-05,0.000956619508815739,"Significant"
"dnaaf6",3991.09580286304,-1.17720544897254,0.315563273097521,1.93873054909557e-05,0.0011731864695064,"Significant"
"ptgr1.1",2594.18024154889,-1.13511187431704,0.304005340393685,2.02219145736344e-05,0.00121787801428622,"Significant"
"pimr189",2840.50656893984,-1.80499138867642,0.505620216606893,2.04782056908345e-05,0.00122513798023442,"Significant"
"cacna1ib",4546.62075481632,-1.3936941063937,0.384346241733053,2.24419507939611e-05,0.00132019049291482,"Significant"
"ankef1b",6545.37195128629,-1.4688055203981,0.410352436161082,2.32141705808786e-05,0.00135031891877401,"Significant"
"gpib",3579.15893009307,-0.944555782483155,0.249479491935054,2.42618532298994e-05,0.001401274006023,"Significant"
"pcloa",2395.4363699441,-2.11468259093746,0.615468535551864,2.82898467899247e-05,0.0015904413866043,"Significant"
"prkar1b",4408.21864754931,-1.11598391214214,0.306355033758369,2.92843831226002e-05,0.00163547474465535,"Significant"
"si:dkey-9i23.14",4850.19391297379,-1.21182540596617,0.339602649068046,3.39489448038666e-05,0.00185498756199217,"Significant"
"ppp4r2b",5406.9117542948,-0.934507534796551,0.253406908127947,3.53233036923131e-05,0.00189750501084449,"Significant"
"msh5",3195.79718603848,-1.25166270373521,0.356046420672047,3.96596899359842e-05,0.00210370593792234,"Significant"
"opn1sw2",1812.38762191699,-1.05348711956811,0.29601695713335,4.44563765896443e-05,0.00228639234975747,"Significant"
"shox2",108.629484289892,-2.79179850659254,0.863695495731114,4.60740936205082e-05,0.00234580048945379,"Significant"
"camsap1a",2180.59564208641,-1.04081120363583,0.295462324845968,5.1947527002468e-05,0.00258768083918974,"Significant"
