"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significance"
"si:ch211-153b23.3",6355.88262462435,9.2692331424106,0.687900290951362,1.2026161479535e-42,3.04923324313609e-38,"Significant"
"cldnb",5463.2261367143,7.91803956573152,0.630746839899281,2.09699141117594e-37,2.6584608615183e-33,"Significant"
"cd44a",1401.48753092209,7.22480176496838,0.587153508454574,4.742165468884e-36,4.00792018211846e-32,"Significant"
"mhc1uka",3802.28232047317,4.72949815613747,0.427045754614046,8.76962580809449e-30,5.55884655910589e-26,"Significant"
"si:ch211-153b23.4",4805.82632854323,8.1268404994305,0.741715708738509,3.04071018258547e-29,1.54194413358909e-25,"Significant"
"icn2",1891.77953348404,7.28283064038091,0.737515966771479,2.72009337908838e-24,1.1494661271131e-20,"Significant"
"zgc:193505",852.748641137447,6.33323606172762,0.645334210057854,4.87985461822692e-24,1.76755305493062e-20,"Significant"
"si:dkey-193p11.2",7318.07615424354,6.44806478996808,0.659305772851108,7.05553732744145e-24,2.23616436171598e-20,"Significant"
"zgc:111983",28849.3463905051,10.6000874193182,1.10145390657514,3.95897368777546e-23,1.11533086503941e-19,"Significant"
"col10a1a",376.276052477196,9.35208645688772,1.08845330496922,4.371095859142e-18,1.10829135508545e-14,"Significant"
"zgc:101810",637.789146351151,5.41439983785406,0.661523178481035,1.34640469768926e-17,3.10346282817375e-14,"Significant"
"si:ch211-207n23.2",1649.3843721281,6.79278188231031,0.834002902738237,1.72375027263006e-17,3.64214068021126e-14,"Significant"
"krt97",5607.49486586817,5.52436038788106,0.698893094023419,1.31283134137965e-16,2.37763133290578e-13,"Significant"
"ptgdsb.2",10741.6760062479,4.92760700372902,0.637903000386891,5.53718166024767e-16,9.35968273303864e-13,"Significant"
"si:ch211-207d6.2",1462.64515036494,2.67704268988561,0.346072693489762,5.99196138139696e-16,9.49538630158249e-13,"Significant"
"si:ch1073-75o15.3",226.307646298417,4.22395413576206,0.559023686276355,1.90994243790449e-15,2.84862297135696e-12,"Significant"
"zp3.2",492.569175979693,4.59156599984478,0.612710706824982,3.5115616399528e-15,4.94642474338906e-12,"Significant"
"mid1ip1a",1427.68638252689,5.41869371566572,0.738988955506681,1.08690865336917e-14,1.37792844530876e-11,"Significant"
"zgc:100868",5955.96382132543,5.23803332095604,0.714031897730724,1.06091539981837e-14,1.37792844530876e-11,"Significant"
"epcam",11301.0290075684,4.46307276921294,0.617487210551075,2.50374784629917e-14,3.02297745918645e-11,"Significant"
"zp3a.1",207.824815147237,7.26174307179824,1.004108768682,4.10336398911647e-14,4.72912699745673e-11,"Significant"
"cldni",4719.60477597595,4.83272327894971,0.68039865608945,5.94080852862773e-14,6.54909566275461e-11,"Significant"
"upk1a",1037.65700365726,4.47082801732095,0.630584192417574,6.56241091283774e-14,6.93291369562503e-11,"Significant"
"adgrf8",1047.5246961325,5.72904109512366,0.815086487696154,9.49800064197175e-14,9.63287225108775e-11,"Significant"
"dusp1",6468.58677522929,2.30869927091764,0.324701436949262,1.07428227751218e-13,1.04763181332005e-10,"Significant"
"col10a1b",684.968838629487,6.53634455872983,0.933417593193757,1.1705893854143e-13,1.09927014322888e-10,"Significant"
"fabp6",244.869279700282,9.19730891375731,1.26673696682038,1.59123745749786e-13,1.42516144990481e-10,"Significant"
"si:ch211-226h7.7p",839.987445661044,6.59210467410216,0.949153912254943,1.63004070389428e-13,1.42516144990481e-10,"Significant"
"si:ch1073-340i21.3",707.263077383359,5.34108648768511,0.776204441856806,2.72938326138755e-13,2.23237137395101e-10,"Significant"
